date,value
2007-01-01,23494.0
2007-02-01,23720.0
2007-03-01,23751.0
2007-04-01,23772.0
2007-05-01,23949.0
2007-06-01,23982.0
2007-07-01,24303.0
2007-08-01,24272.0
2007-09-01,24301.0
2007-10-01,24265.0
2007-11-01,24184.0
2007-12-01,23936.0
2008-01-01,23881.0
2008-02-01,23836.0
2008-03-01,23725.0
2008-04-01,23899.0
2008-05-01,23763.0
2008-06-01,24377.0
2008-07-01,24615.0
2008-08-01,24362.0
2008-09-01,24399.0
2008-10-01,24096.0
2008-11-01,23844.0
2008-12-01,23957.0
2009-01-01,23541.0
2009-02-01,23390.0
2009-03-01,23529.0
2009-04-01,23782.0
2009-05-01,23638.0
2009-06-01,24135.0
2009-07-01,24289.0
2009-08-01,24142.0
2009-09-01,24189.0
2009-10-01,24200.0
2009-11-01,24350.0
2009-12-01,23920.0
2010-01-01,23924.0
2010-02-01,23854.0
2010-03-01,23855.0
2010-04-01,23916.0
2010-05-01,24210.0
2010-06-01,24688.0
2010-07-01,24586.0
2010-08-01,24644.0
2010-09-01,24488.0
2010-10-01,24530.0
2010-11-01,24788.0
2010-12-01,24783.0
2011-01-01,24517.0
2011-02-01,23958.0
2011-03-01,24034.0
2011-04-01,23915.0
2011-05-01,24253.0
2011-06-01,24294.0
2011-07-01,24516.0
2011-08-01,24377.0
2011-09-01,24447.0
2011-10-01,24849.0
2011-11-01,24696.0
2011-12-01,24836.0
2012-01-01,25156.0
2012-02-01,24826.0
2012-03-01,24958.0
2012-04-01,24460.0
2012-05-01,24878.0
2012-06-01,25009.0
2012-07-01,25180.0
2012-08-01,24998.0
2012-09-01,25116.0
2012-10-01,25268.0
2012-11-01,25217.0
2012-12-01,25248.0
2013-01-01,25240.0
2013-02-01,25242.0
2013-03-01,25061.0
2013-04-01,24982.0
2013-05-01,24958.0
2013-06-01,25305.0
2013-07-01,25382.0
2013-08-01,25540.0
2013-09-01,25713.0
2013-10-01,25507.0
2013-11-01,25579.0
2013-12-01,25429.0
2014-01-01,25139.0
2014-02-01,25421.0
2014-03-01,25474.0
2014-04-01,25127.0
2014-05-01,25392.0
2014-06-01,25389.0
2014-07-01,25411.0
2014-08-01,26046.0
2014-09-01,26238.0
2014-10-01,26364.0
2014-11-01,26536.0
2014-12-01,26286.0
2015-01-01,26073.0
2015-02-01,26276.0
2015-03-01,26328.0
2015-04-01,26103.0
2015-05-01,26331.0
2015-06-01,26100.0
2015-07-01,26079.0
2015-08-01,26056.0
2015-09-01,26132.0
2015-10-01,26267.0
2015-11-01,26665.0
2015-12-01,26681.0
2016-01-01,26681.0
2016-02-01,26602.0
2016-03-01,27029.0
2016-04-01,26596.0
2016-05-01,26243.0
2016-06-01,26936.0
2016-07-01,27132.0
2016-08-01,27336.0
2016-09-01,27345.0
2016-10-01,27060.0
2016-11-01,27384.0
2016-12-01,27062.0
2017-01-01,27144.0
2017-02-01,27049.0
2017-03-01,27062.0
2017-04-01,27402.0
2017-05-01,27315.0
2017-06-01,27540.0
2017-07-01,27536.0
2017-08-01,27673.0
2017-09-01,27846.0
2017-10-01,27374.0
2017-11-01,27395.0
2017-12-01,27143.0
2018-01-01,27754.0
2018-02-01,28218.0
2018-03-01,28441.0
