period,Compensation of employees,Proprietors' income,Corporate profits,Net interest,Rental income,Taxes on production less subsidies,Depreciation,Everything else
Q1 1947,128.92,36.188,20.571,1.992,6.657,17.168,28.071,0.525
Q2 1947,130.718,33.262,23.523,2.223,6.768,17.323,28.706,0.686
Q3 1947,132.712,33.893,23.616,2.404,6.973,17.667,29.515,0.799
Q4 1947,136.808,34.972,25.003,2.465,7.157,18.672,30.191,0.854
Q1 1948,140.319,36.384,28.771,2.352,7.319,18.579,30.615,0.731
Q2 1948,141.984,40.231,30.473,2.336,7.465,19.373,31.086,0.706
Q3 1948,146.761,40.604,29.898,2.4,7.536,19.391,31.65,0.701
Q4 1948,147.843,39.897,31.385,2.429,7.617,19.401,31.959,0.692
Q1 1949,146.209,35.414,29.78,2.552,7.543,19.784,32.249,0.649
Q2 1949,144.622,34.937,27.496,2.616,7.654,20.423,32.256,0.657
Q3 1949,143.55,34.238,28.807,2.705,7.888,20.724,32.255,0.696
Q4 1949,142.722,34.171,25.648,2.76,8.108,20.691,32.382,0.75
Q1 1950,146.926,36.246,28.928,2.969,8.458,20.864,32.405,0.71
Q2 1950,153.538,36.813,32.805,2.906,8.669,21.653,32.769,0.779
Q3 1950,162.225,38.456,37.017,2.947,8.841,23.608,33.572,0.858
Q4 1950,170.072,38.543,40.408,3.054,9.148,22.301,34.823,0.948
Q1 1951,178.552,40.901,39.232,3.259,9.32,23.938,36.253,1.079
Q2 1951,184.887,42.539,38.876,3.343,9.576,22.941,37.336,1.151
Q3 1951,187.84,43.241,39.313,3.507,9.858,23.609,38.267,1.188
Q4 1951,191.481,43.698,40.394,3.611,10.124,24.299,39.045,1.219
Q1 1952,196.095,41.693,38.122,3.723,10.4,25.274,39.53,1.216
Q2 1952,197.424,42.956,36.249,3.803,10.665,26.127,40.176,1.204
Q3 1952,201.501,44.745,36.156,3.939,10.931,26.536,41.003,1.188
Q4 1952,209.324,42.762,40.58,3.995,11.267,27.45,41.709,1.184
Q1 1953,213.13,42.948,41.468,4.235,11.584,28.019,42.496,1.193
Q2 1953,216.216,42.347,40.609,4.261,11.894,28.727,43.266,1.195
Q3 1953,216.53,41.218,39.578,4.504,12.162,28.643,43.817,1.146
Q4 1953,215.136,41.557,32.329,4.615,12.474,28.959,44.381,1.073
Q1 1954,213.169,42.681,34.668,4.797,12.797,28.551,44.94,0.955
Q2 1954,212.741,42.099,35.991,5.062,13.015,28.12,45.691,0.881
Q3 1954,213.281,42.248,37.971,5.308,13.144,28.416,46.3,0.883
Q4 1954,217.593,41.992,41.361,5.519,13.287,29.159,46.991,0.944
Q1 1955,221.965,43.667,46.568,5.564,13.333,29.984,47.461,1.102
Q2 1955,228.153,44.27,47.867,5.737,13.386,30.901,48.178,1.245
Q3 1955,233.98,44.635,47.773,5.802,13.441,31.91,49.315,1.372
Q4 1955,238.461,44.518,49.046,5.872,13.527,32.27,50.603,1.471
Q1 1956,242.91,44.863,46.7,6.018,13.595,32.731,52.144,1.572
Q2 1956,247.573,45.251,46.882,6.199,13.604,33.04,53.505,1.624
Q3 1956,250.502,46.408,46.405,6.584,13.682,33.698,54.819,1.674
