date,value
1947-01-01,0.243164
1947-04-01,0.245968
1947-07-01,0.249585
1947-10-01,0.259745
1948-01-01,0.26574200000000003
1948-04-01,0.272567
1948-07-01,0.27919600000000006
1948-10-01,0.280366
1949-01-01,0.275034
1949-04-01,0.271351
1949-07-01,0.272889
1949-10-01,0.270627
1950-01-01,0.28082799999999997
1950-04-01,0.290383
1950-07-01,0.308153
1950-10-01,0.319945
1951-01-01,0.336
1951-04-01,0.34409
1951-07-01,0.351385
1951-10-01,0.356178
1952-01-01,0.35982
1952-04-01,0.36102999999999996
1952-07-01,0.36770100000000006
1952-10-01,0.38081200000000004
1953-01-01,0.38798000000000005
1953-04-01,0.391749
1953-07-01,0.391171
1953-10-01,0.38597000000000004
1954-01-01,0.38534500000000005
1954-04-01,0.386121
1954-07-01,0.390996
1954-10-01,0.399734
1955-01-01,0.41307299999999997
1955-04-01,0.421532
1955-07-01,0.430221
1955-10-01,0.437092
1956-01-01,0.43974599999999997
1956-04-01,0.44601
1956-07-01,0.451191
1956-10-01,0.460463
1957-01-01,0.469779
1957-04-01,0.472025
1957-07-01,0.47949
1957-10-01,0.474864
1958-01-01,0.46754
1958-04-01,0.471978
1958-07-01,0.485841
1958-10-01,0.499555
1959-01-01,0.51033
1959-04-01,0.522653
1959-07-01,0.525034
1959-10-01,0.5286000000000001
1960-01-01,0.542648
1960-04-01,0.54108
1960-07-01,0.5456040000000001
1960-10-01,0.540197
1961-01-01,0.545018
1961-04-01,0.555545
1961-07-01,0.567664
1961-10-01,0.580612
1962-01-01,0.594013
1962-04-01,0.600366
1962-07-01,0.6090270000000001
1962-10-01,0.6122799999999999
1963-01-01,0.621672
1963-04-01,0.629752
1963-07-01,0.644444
1963-10-01,0.653938
1964-01-01,0.669822
1964-04-01,0.678674
1964-07-01,0.692031
1964-10-01,0.697319
1965-01-01,0.7177899999999999
1965-04-01,0.730191
1965-07-01,0.749323
1965-10-01,0.771857
1966-01-01,0.795734
1966-04-01,0.8049810000000001
1966-07-01,0.8196380000000001
1966-10-01,0.833302
1967-01-01,0.84417
1967-04-01,0.8489829999999999
1967-07-01,0.8652329999999999
1967-10-01,0.881439
1968-01-01,0.909387
1968-04-01,0.9343440000000001
1968-07-01,0.950825
1968-10-01,0.96803
1969-01-01,0.993337
1969-04-01,1.00902
1969-07-01,1.0299559999999999
1969-10-01,1.038147
1970-01-01,1.0512000000000001
1970-04-01,1.067375
1970-07-01,1.0860589999999999
1970-10-01,1.088608
1971-01-01,1.135156
1971-04-01,1.156271
1971-07-01,1.177675
1971-10-01,1.1902970000000002
1972-01-01,1.2306089999999998
1972-04-01,1.2663689999999999
1972-07-01,1.290566
1972-10-01,1.328904
1973-01-01,1.37749
1973-04-01,1.413887
1973-07-01,1.433838
1973-10-01,1.476289
1974-01-01,1.491209
1974-04-01,1.530056
1974-07-01,1.5600260000000001
1974-10-01,1.599679
1975-01-01,1.616116
1975-04-01,1.651853
1975-07-01,1.70982
1975-10-01,1.761831
1976-01-01,1.8204870000000002
1976-04-01,1.852332
1976-07-01,1.886558
1976-10-01,1.934273
1977-01-01,1.988648
1977-04-01,2.055909
1977-07-01,2.118473
1977-10-01,2.16427
1978-01-01,2.20276
1978-04-01,2.331633
1978-07-01,2.395053
1978-10-01,2.4769490000000003
1979-01-01,2.5266100000000002
1979-04-01,2.591247
1979-07-01,2.667565
1979-10-01,2.723883
1980-01-01,2.789842
1980-04-01,2.797352
1980-07-01,2.8564830000000003
1980-10-01,2.985557
1981-01-01,3.124206
1981-04-01,3.162532
1981-07-01,3.260609
1981-10-01,3.2808180000000005
1982-01-01,3.274302
1982-04-01,3.3319720000000004
1982-07-01,3.3663220000000003
1982-10-01,3.4025610000000004
1983-01-01,3.473413
1983-04-01,3.5788480000000003
1983-07-01,3.689179
1983-10-01,3.794706
1984-01-01,3.9080540000000004
1984-04-01,4.009601
1984-07-01,4.08425
1984-10-01,4.148551
1985-01-01,4.230168
1985-04-01,4.294887
1985-07-01,4.386773
1985-10-01,4.444094
1986-01-01,4.507894
1986-04-01,4.54534
1986-07-01,4.607669
1986-10-01,4.657627000000001
1987-01-01,4.722156
1987-04-01,4.80616
1987-07-01,4.884555000000001
1987-10-01,5.007994
1988-01-01,5.073372
1988-04-01,5.190036
1988-07-01,5.282835
1988-10-01,5.399509
1989-01-01,5.511253
1989-04-01,5.612463
1989-07-01,5.695365
1989-10-01,5.747237
1990-01-01,5.872701
1990-04-01,5.960028
1990-07-01,6.015116
1990-10-01,6.004733
1991-01-01,6.035178
1991-04-01,6.126862
1991-07-01,6.205937
1991-10-01,6.26454
1992-01-01,6.363102
1992-04-01,6.470763
1992-07-01,6.566641
1992-10-01,6.680803
1993-01-01,6.729459
1993-04-01,6.8089390000000005
1993-07-01,6.882098
1993-10-01,7.013738
1994-01-01,7.115652
1994-04-01,7.246931
1994-07-01,7.331075
1994-10-01,7.4552879999999995
1995-01-01,7.522289
1995-04-01,7.580997000000001
1995-07-01,7.683125
1995-10-01,7.772586
1996-01-01,7.868468
1996-04-01,8.03284
1996-07-01,8.131408
1996-10-01,8.259771
1997-01-01,8.362655
1997-04-01,8.518825000000001
1997-07-01,8.662823000000001
1997-10-01,8.765906999999999
1998-01-01,8.86648
1998-04-01,8.969699
1998-07-01,9.121097
1998-10-01,9.293991
1999-01-01,9.411682
1999-04-01,9.526209999999999
1999-07-01,9.686626
1999-10-01,9.900169
2000-01-01,10.002179
2000-04-01,10.24772
2000-07-01,10.318165
2000-10-01,10.435744000000001
2001-01-01,10.470231
2001-04-01,10.599
2001-07-01,10.59802
2001-10-01,10.660465
2002-01-01,10.7835
2002-04-01,10.887459999999999
2002-07-01,10.98404
2002-10-01,11.061433000000001
2003-01-01,11.174129
2003-04-01,11.312766
2003-07-01,11.566669000000001
2003-10-01,11.772234000000001
2004-01-01,11.923447000000001
2004-04-01,12.112815000000001
2004-07-01,12.305307
2004-10-01,12.527214
2005-01-01,12.767286
2005-04-01,12.922656000000002
2005-07-01,13.142642
2005-10-01,13.324204
2006-01-01,13.59916
2006-04-01,13.753424
2006-07-01,13.870188
2006-10-01,14.03956
2007-01-01,14.215651
2007-04-01,14.402082
2007-07-01,14.564117000000001
2007-10-01,14.715058
2008-01-01,14.706538
2008-04-01,14.865701
2008-07-01,14.898999
2008-10-01,14.608209
2009-01-01,14.430902
2009-04-01,14.381236000000001
2009-07-01,14.448882
2009-10-01,14.651249
2010-01-01,14.764610000000001
2010-04-01,14.980193
2010-07-01,15.141607
2010-10-01,15.309474
