period,Men,Women
Jan 1948,43214.0,16881.0
Feb 1948,43400.0,17124.0
Mar 1948,43080.0,16990.0
Apr 1948,43215.0,17462.0
May 1948,43002.0,16970.0
Jun 1948,43257.0,17700.0
Jul 1948,43429.0,17752.0
Aug 1948,43403.0,17403.0
Sep 1948,43240.0,17575.0
Oct 1948,43396.0,17250.0
Nov 1948,43337.0,17365.0
Dec 1948,43544.0,17625.0
Jan 1949,43343.0,17428.0
Feb 1949,43396.0,17661.0
Mar 1949,43393.0,17680.0
Apr 1949,43455.0,17552.0
May 1949,43505.0,17754.0
Jun 1949,43371.0,17577.0
Jul 1949,43368.0,17933.0
Aug 1949,43602.0,17988.0
Sep 1949,43681.0,17952.0
Oct 1949,44107.0,18078.0
Nov 1949,43861.0,18144.0
Dec 1949,43821.0,18087.0
Jan 1950,43633.0,18028.0
Feb 1950,43629.0,18058.0
Mar 1950,43622.0,17982.0
Apr 1950,43811.0,18347.0
May 1950,43888.0,18195.0
Jun 1950,43855.0,18564.0
Jul 1950,43836.0,18285.0
Aug 1950,44054.0,18542.0
Sep 1950,43988.0,18361.0
Oct 1950,43762.0,18666.0
Nov 1950,43524.0,18762.0
Dec 1950,43396.0,18672.0
Jan 1951,43193.0,18748.0
Feb 1951,43108.0,18670.0
Mar 1951,43373.0,19153.0
Apr 1951,42966.0,18842.0
May 1951,43031.0,19013.0
Jun 1951,42858.0,18757.0
Jul 1951,42786.0,19320.0
Aug 1951,42879.0,19048.0
Sep 1951,42827.0,18953.0
Oct 1951,43038.0,19166.0
Nov 1951,42906.0,19108.0
Dec 1951,43091.0,19366.0
Jan 1952,43084.0,19348.0
Feb 1952,43129.0,19290.0
Mar 1952,42843.0,18878.0
Apr 1952,42734.0,18986.0
May 1952,42823.0,19235.0
Jun 1952,42877.0,19226.0
Jul 1952,42871.0,19091.0
Aug 1952,42718.0,19159.0
Sep 1952,42763.0,19694.0
Oct 1952,42678.0,19293.0
Nov 1952,42762.0,19729.0
Dec 1952,43177.0,19444.0
Jan 1953,43754.0,19685.0
Feb 1953,43933.0,19587.0
Mar 1953,43910.0,19747.0
Apr 1953,43713.0,19454.0
May 1953,43518.0,19097.0
Jun 1953,43532.0,19531.0
Jul 1953,43569.0,19488.0
Aug 1953,43515.0,19301.0
Sep 1953,43386.0,19341.0
Oct 1953,43454.0,19413.0
Nov 1953,43789.0,19160.0
Dec 1953,43791.0,19004.0
Jan 1954,43871.0,19230.0
Feb 1954,44135.0,19859.0
Mar 1954,43854.0,19939.0
Apr 1954,44081.0,19853.0
May 1954,43993.0,19682.0
Jun 1954,43798.0,19545.0
Jul 1954,43896.0,19406.0
Aug 1954,44185.0,19522.0
Sep 1954,44299.0,19910.0
Oct 1954,44082.0,19854.0
Nov 1954,43983.0,19776.0
Dec 1954,43813.0,19499.0
Jan 1955,44040.0,19870.0
Feb 1955,43923.0,19773.0
Mar 1955,44096.0,19786.0
Apr 1955,44287.0,20277.0
May 1955,44283.0,20098.0
Jun 1955,44218.0,20264.0
Jul 1955,44523.0,20622.0
Aug 1955,44566.0,21015.0
Sep 1955,44709.0,20919.0
Oct 1955,44818.0,21003.0
Nov 1955,44925.0,21112.0
Dec 1955,45028.0,21417.0
Jan 1956,45177.0,21242.0
Feb 1956,45068.0,21056.0
Mar 1956,45073.0,21102.0
Apr 1956,45010.0,21254.0
May 1956,45155.0,21567.0
Jun 1956,45182.0,21520.0
Jul 1956,45110.0,21642.0
Aug 1956,45086.0,21587.0
Sep 1956,45039.0,21675.0
Oct 1956,44963.0,21583.0
Nov 1956,45086.0,21571.0
Dec 1956,45073.0,21627.0
Jan 1957,44974.0,21454.0
Feb 1957,45110.0,21769.0
Mar 1957,45225.0,21688.0
Apr 1957,45164.0,21483.0
May 1957,45142.0,21553.0
Jun 1957,45385.0,21667.0
Jul 1957,45377.0,21959.0
Aug 1957,45065.0,21641.0
Sep 1957,45228.0,21836.0
Oct 1957,45195.0,21871.0
Nov 1957,45266.0,21857.0
Dec 1957,45374.0,22024.0
Jan 1958,45223.0,21872.0
Feb 1958,45202.0,21999.0
Mar 1958,45222.0,22001.0
Apr 1958,45445.0,22202.0
May 1958,45638.0,22257.0
Jun 1958,45523.0,22151.0
Jul 1958,45726.0,22098.0
Aug 1958,45771.0,22266.0
Sep 1958,45841.0,22161.0
Oct 1958,45858.0,22187.0
Nov 1958,45599.0,22059.0
Dec 1958,45580.0,22160.0
Jan 1959,45606.0,22330.0
Feb 1959,45519.0,22130.0
Mar 1959,45705.0,22363.0
Apr 1959,45828.0,22511.0
May 1959,45732.0,22446.0
Jun 1959,45740.0,22538.0
Jul 1959,46044.0,22495.0
Aug 1959,45945.0,22487.0
Sep 1959,46097.0,22448.0
Oct 1959,46092.0,22729.0
Nov 1959,45994.0,22539.0
Dec 1959,46259.0,22735.0
Jan 1960,46296.0,22666.0
Feb 1960,46213.0,22736.0
Mar 1960,45957.0,22442.0
Apr 1960,46400.0,23179.0
May 1960,46322.0,23304.0
Jun 1960,46337.0,23597.0
Jul 1960,46305.0,23440.0
Aug 1960,46455.0,23386.0
Sep 1960,46555.0,23596.0
Oct 1960,46569.0,23315.0
Nov 1960,46785.0,23654.0
Dec 1960,46683.0,23712.0
Jan 1961,46740.0,23707.0
Feb 1961,46506.0,23914.0
Mar 1961,46616.0,24087.0
Apr 1961,46549.0,23718.0
May 1961,46704.0,23748.0
Jun 1961,46783.0,24095.0
Jul 1961,46695.0,23841.0
Aug 1961,46776.0,23758.0
Sep 1961,46608.0,23609.0
Oct 1961,46636.0,23856.0
Nov 1961,46615.0,23761.0
Dec 1961,46480.0,23597.0
Jan 1962,46342.0,23847.0
Feb 1962,46485.0,23924.0
Mar 1962,46549.0,23865.0
Apr 1962,46439.0,23839.0
May 1962,46709.0,23842.0
Jun 1962,46599.0,23915.0
Jul 1962,46408.0,23894.0
Aug 1962,46707.0,24274.0
Sep 1962,46824.0,24329.0
Oct 1962,46769.0,24148.0
Nov 1962,46743.0,24128.0
Dec 1962,46722.0,24132.0
Jan 1963,46820.0,24326.0
Feb 1963,46793.0,24469.0
Mar 1963,46927.0,24496.0
Apr 1963,47035.0,24662.0
May 1963,47056.0,24776.0
Jun 1963,47044.0,24582.0
Jul 1963,47232.0,24724.0
