date,value
1953-01-01,41880.0
1954-01-01,40690.0
1955-01-01,43380.0
1956-01-01,46170.0
1957-01-01,46460.0
1958-01-01,46380.0
1959-01-01,48890.0
1960-01-01,49960.0
1961-01-01,50480.0
1962-01-01,51920.0
1963-01-01,53690.0
1964-01-01,55900.0
1965-01-01,58090.0
1966-01-01,61180.0
1967-01-01,62450.0
1968-01-01,65360.0
1969-01-01,68520.0
1970-01-01,68340.0
1971-01-01,68320.0
1972-01-01,71450.0
1973-01-01,73000.0
1974-01-01,71160.0
1975-01-01,69850.0
1976-01-01,72050.0
1977-01-01,72430.0
1978-01-01,74700.0
1979-01-01,75760.0
1980-01-01,73230.0
1981-01-01,71190.0
1982-01-01,70260.0
1983-01-01,70730.0
1984-01-01,73010.0
1985-01-01,74080.0
1986-01-01,77410.0
1987-01-01,78720.0
1988-01-01,78910.0
1989-01-01,80340.0
1990-01-01,79170.0
1991-01-01,77660.0
1992-01-01,77070.0
1993-01-01,76000.0
1994-01-01,78040.0
1995-01-01,79840.0
1996-01-01,81020.0
1997-01-01,83570.0
1998-01-01,86460.0
1999-01-01,88500.0
2000-01-01,88880.0
2001-01-01,88080.0
2002-01-01,87450.0
2003-01-01,87330.0
2004-01-01,87430.0
2005-01-01,88320.0
2006-01-01,89210.0
2007-01-01,91370.0
2008-01-01,88370.0
2009-01-01,86660.0
2010-01-01,85700.0
2011-01-01,84140.0
2012-01-01,84260.0
2013-01-01,87570.0
2014-01-01,87880.0
2015-01-01,93310.0
2016-01-01,95120.0
2017-01-01,97880.0
2018-01-01,99110.0
2019-01-01,106800.0
2020-01-01,103700.0
2021-01-01,104200.0
2022-01-01,101300.0
2023-01-01,106000.0
2024-01-01,107900.0
2025-01-01,110500.0
