fiscal_year,Social Security,Medicare,Health (mostly Medicaid),Income security,Defense,Net interest,Veterans,Everything else,gdp_billions
2015,887.771,546.203,482.153,509.429,591.372,223.336,159.739,287.619,18164.2545
2016,916.078,594.535,511.32,514.583,595.303,240.722,174.515,307.044,18641.35275
2017,944.878,597.305,533.059,504.014,600.278,262.781,176.542,361.748,19375.17525
2018,987.796,588.706,518.508,495.802,664.67,324.697,178.853,348.709,20436.32075
2019,1044.416,650.997,584.764,515.433,687.603,375.606,200.036,387.728,21286.144
2020,1095.817,776.224,748.293,1262.558,726.151,344.705,218.674,1379.45,21336.795749999997
2021,1134.593,696.461,796.762,1648.845,754.849,352.264,234.278,1200.107,23044.0355
2022,1218.674,755.094,914.466,865.449,766.657,475.121,274.41,1001.635,25565.38575
2023,1354.319,847.544,889.297,774.168,820.734,659.182,301.606,487.581,27397.965
2024,1460.914,874.134,911.684,671.076,874.041,881.651,325.363,752.689,28947.89775
2025,1580.686,996.719,978.877,701.584,916.649,970.359,377.162,487.938,30362.76275
