date,value
1939-02-01,177.0
1939-03-01,180.0
1939-04-01,-186.0
1939-05-01,205.0
1939-06-01,203.0
1939-07-01,-83.0
1939-08-01,244.0
1939-09-01,368.0
1939-10-01,380.0
1939-11-01,59.0
1939-12-01,72.0
1940-01-01,61.0
1940-02-01,112.0
1940-03-01,110.0
1940-04-01,-124.0
1940-05-01,178.0
1940-06-01,98.0
1940-07-01,-35.0
1940-08-01,410.0
1940-09-01,458.0
1940-10-01,457.0
1940-11-01,402.0
1940-12-01,505.0
1941-01-01,307.0
1941-02-01,362.0
1941-03-01,249.0
1941-04-01,376.0
1941-05-01,714.0
1941-06-01,468.0
1941-07-01,487.0
1941-08-01,407.0
1941-09-01,291.0
1941-10-01,114.0
1941-11-01,75.0
1941-12-01,80.0
1942-01-01,243.0
1942-02-01,165.0
1942-03-01,423.0
1942-04-01,417.0
1942-05-01,419.0
1942-06-01,258.0
1942-07-01,443.0
1942-08-01,516.0
1942-09-01,271.0
1942-10-01,256.0
1942-11-01,159.0
1942-12-01,241.0
1943-01-01,257.0
1943-02-01,221.0
1943-03-01,159.0
1943-04-01,95.0
1943-05-01,-51.0
1943-06-01,185.0
1943-07-01,-81.0
1943-08-01,-154.0
1943-09-01,-54.0
1943-10-01,183.0
1943-11-01,146.0
1943-12-01,-75.0
1944-01-01,-92.0
1944-02-01,-116.0
1944-03-01,-244.0
1944-04-01,-231.0
1944-05-01,-78.0
1944-06-01,-38.0
1944-07-01,-43.0
1944-08-01,-54.0
1944-09-01,-171.0
1944-10-01,29.0
1944-11-01,3.0
1944-12-01,149.0
1945-01-01,35.0
1945-02-01,2.0
1945-03-01,-99.0
1945-04-01,-352.0
1945-05-01,-142.0
1945-06-01,-155.0
1945-07-01,-275.0
1945-08-01,-408.0
1945-09-01,-1959.0
1945-10-01,93.0
1945-11-01,396.0
1945-12-01,114.0
1946-01-01,719.0
1946-02-01,-585.0
1946-03-01,951.0
1946-04-01,718.0
1946-05-01,436.0
1946-06-01,386.0
1946-07-01,418.0
1946-08-01,489.0
1946-09-01,273.0
1946-10-01,178.0
1946-11-01,302.0
1946-12-01,-16.0
1947-01-01,156.0
1947-02-01,22.0
1947-03-01,50.0
1947-04-01,-108.0
1947-05-01,139.0
1947-06-01,172.0
1947-07-01,-67.0
1947-08-01,217.0
1947-09-01,243.0
1947-10-01,208.0
1947-11-01,73.0
1947-12-01,97.0
1948-01-01,98.0
1948-02-01,-146.0
1948-03-01,150.0
1948-04-01,-304.0
1948-05-01,417.0
1948-06-01,238.0
1948-07-01,126.0
1948-08-01,18.0
1948-09-01,116.0
1948-10-01,-49.0
1948-11-01,-53.0
1948-12-01,-160.0
1949-01-01,-364.0
1949-02-01,-171.0
1949-03-01,-257.0
1949-04-01,-4.0
1949-05-01,-252.0
1949-06-01,-245.0
1949-07-01,-208.0
1949-08-01,93.0
1949-09-01,156.0
1949-10-01,-838.0
1949-11-01,300.0
1949-12-01,280.0
1950-01-01,4.0
1950-02-01,-229.0
1950-03-01,657.0
1950-04-01,428.0
1950-05-01,336.0
1950-06-01,365.0
1950-07-01,371.0
1950-08-01,738.0
1950-09-01,246.0
1950-10-01,268.0
1950-11-01,70.0
1950-12-01,85.0
1951-01-01,427.0
1951-02-01,289.0
1951-03-01,296.0
1951-04-01,-12.0
1951-05-01,91.0
1951-06-01,112.0
1951-07-01,-3.0
1951-08-01,-49.0
1951-09-01,-58.0
1951-10-01,52.0
1951-11-01,141.0
1951-12-01,167.0
1952-01-01,-18.0
1952-02-01,226.0
1952-03-01,-18.0
1952-04-01,116.0
1952-05-01,22.0
1952-06-01,-360.0
1952-07-01,-139.0
1952-08-01,781.0
1952-09-01,396.0
1952-10-01,277.0
1952-11-01,219.0
1952-12-01,350.0
1953-01-01,-22.0
1953-02-01,195.0
1953-03-01,134.0
1953-04-01,-38.0
1953-05-01,55.0
1953-06-01,29.0
1953-07-01,17.0
1953-08-01,-47.0
1953-09-01,-121.0
1953-10-01,-128.0
1953-11-01,-332.0
1953-12-01,-205.0
1954-01-01,-234.0
1954-02-01,-87.0
1954-03-01,-225.0
1954-04-01,22.0
1954-05-01,-214.0
1954-06-01,-70.0
1954-07-01,-60.0
1954-08-01,-9.0
1954-09-01,60.0
1954-10-01,56.0
1954-11-01,238.0
1954-12-01,151.0
1955-01-01,165.0
1955-02-01,148.0
1955-03-01,318.0
1955-04-01,286.0
1955-05-01,264.0
1955-06-01,278.0
1955-07-01,197.0
1955-08-01,124.0
1955-09-01,155.0
1955-10-01,163.0
1955-11-01,163.0
1955-12-01,213.0
1956-01-01,170.0
1956-02-01,192.0
1956-03-01,127.0
1956-04-01,81.0
1956-05-01,131.0
1956-06-01,80.0
1956-07-01,-631.0
1956-08-01,676.0
1956-09-01,-27.0
1956-10-01,173.0
1956-11-01,44.0
1956-12-01,108.0
1957-01-01,-42.0
1957-02-01,210.0
