period,"Trade, transportation, and utilities",Education and health services,Government,Professional and business services,Leisure and hospitality,Manufacturing,Financial activities,Construction,Other services,Information,Mining and logging
Jan 1939,6627.0,1381.0,3988.0,1943.0,1860.0,9077.0,1371.0,1139.0,543.0,1112.0,882.0
Feb 1939,6643.0,1384.0,4001.0,1950.0,1867.0,9175.0,1372.0,1162.0,544.0,1118.0,884.0
Mar 1939,6625.0,1387.0,4002.0,1958.0,1877.0,9275.0,1376.0,1225.0,546.0,1126.0,883.0
Apr 1939,6634.0,1389.0,4002.0,1957.0,1887.0,9309.0,1370.0,1249.0,546.0,1127.0,624.0
May 1939,6686.0,1399.0,4006.0,1968.0,1888.0,9299.0,1379.0,1262.0,550.0,1125.0,737.0
Jun 1939,6706.0,1406.0,4003.0,1980.0,1895.0,9315.0,1381.0,1264.0,553.0,1131.0,868.0
Jul 1939,6731.0,1411.0,4019.0,1985.0,1897.0,9231.0,1386.0,1221.0,555.0,1131.0,852.0
Aug 1939,6740.0,1412.0,4046.0,1990.0,1899.0,9400.0,1392.0,1236.0,555.0,1134.0,859.0
Sep 1939,6793.0,1424.0,4076.0,2010.0,1918.0,9604.0,1406.0,1203.0,560.0,1152.0,885.0
Oct 1939,6858.0,1415.0,4089.0,2021.0,1910.0,9873.0,1398.0,1186.0,557.0,1179.0,925.0
Nov 1939,6855.0,1421.0,4109.0,2027.0,1913.0,9896.0,1400.0,1172.0,559.0,1179.0,939.0
Dec 1939,6851.0,1428.0,4134.0,2033.0,1930.0,9949.0,1405.0,1142.0,562.0,1178.0,930.0
Jan 1940,6916.0,1433.0,4150.0,2039.0,1936.0,9927.0,1409.0,1121.0,564.0,1183.0,925.0
Feb 1940,6943.0,1440.0,4150.0,2047.0,1945.0,9916.0,1415.0,1178.0,566.0,1186.0,929.0
Mar 1940,6992.0,1447.0,4151.0,2051.0,1993.0,9884.0,1416.0,1214.0,569.0,1182.0,926.0
Apr 1940,6896.0,1455.0,4152.0,2055.0,1965.0,9817.0,1419.0,1276.0,572.0,1174.0,920.0
May 1940,6996.0,1460.0,4172.0,2061.0,1979.0,9810.0,1421.0,1298.0,574.0,1178.0,930.0
Jun 1940,7016.0,1465.0,4218.0,2066.0,1995.0,9832.0,1423.0,1290.0,576.0,1178.0,918.0
Jul 1940,7017.0,1469.0,4261.0,2070.0,1988.0,9766.0,1423.0,1272.0,578.0,1178.0,920.0
Aug 1940,7049.0,1478.0,4282.0,2087.0,2000.0,10048.0,1427.0,1286.0,581.0,1191.0,923.0
Sep 1940,7101.0,1487.0,4312.0,2104.0,2023.0,10258.0,1428.0,1379.0,585.0,1205.0,928.0
Oct 1940,7121.0,1496.0,4353.0,2123.0,2023.0,10471.0,1432.0,1506.0,588.0,1222.0,932.0
Nov 1940,7147.0,1501.0,4396.0,2137.0,2025.0,10643.0,1436.0,1627.0,590.0,1231.0,936.0
Dec 1940,7208.0,1507.0,4415.0,2155.0,2056.0,10847.0,1436.0,1777.0,593.0,1241.0,939.0
Jan 1941,7223.0,1516.0,4468.0,2171.0,2045.0,10993.0,1438.0,1833.0,596.0,1253.0,945.0
Feb 1941,7275.0,1526.0,4504.0,2189.0,2061.0,11211.0,1439.0,1820.0,600.0,1267.0,951.0
Mar 1941,7299.0,1536.0,4535.0,2207.0,2074.0,11409.0,1444.0,1739.0,604.0,1284.0,961.0
Apr 1941,7439.0,1551.0,4585.0,2232.0,2138.0,11698.0,1458.0,1772.0,609.0,1305.0,681.0
May 1941,7493.0,1558.0,4642.0,2259.0,2110.0,11957.0,1460.0,1784.0,613.0,1327.0,979.0
Jun 1941,7563.0,1563.0,4701.0,2277.0,2133.0,12204.0,1468.0,1791.0,615.0,1345.0,990.0
Jul 1941,7639.0,1575.0,4750.0,2301.0,2151.0,12382.0,1475.0,1881.0,619.0,1363.0,1001.0
Aug 1941,7711.0,1583.0,4821.0,2317.0,2172.0,12532.0,1478.0,1918.0,623.0,1376.0,1013.0
Sep 1941,7722.0,1587.0,4891.0,2326.0,2175.0,12683.0,1482.0,1939.0,624.0,1386.0,1020.0
Oct 1941,7715.0,1594.0,4907.0,2336.0,2165.0,12770.0,1482.0,1935.0,627.0,1396.0,1022.0
Nov 1941,7710.0,1601.0,4949.0,2344.0,2165.0,12810.0,1481.0,1915.0,629.0,1399.0,1021.0
Dec 1941,7694.0,1606.0,4971.0,2351.0,2165.0,12876.0,1481.0,1903.0,632.0,1401.0,1024.0
Jan 1942,7689.0,1611.0,5089.0,2362.0,2161.0,12965.0,1485.0,1914.0,634.0,1408.0,1029.0
Feb 1942,7664.0,1608.0,5146.0,2365.0,2154.0,13127.0,1480.0,1900.0,632.0,1415.0,1021.0
Mar 1942,7631.0,1615.0,5257.0,2377.0,2149.0,13311.0,1478.0,2042.0,635.0,1426.0,1014.0
Apr 1942,7591.0,1623.0,5357.0,2394.0,2141.0,13509.0,1468.0,2170.0,637.0,1440.0,1022.0
May 1942,7625.0,1626.0,5431.0,2403.0,2137.0,13704.0,1460.0,2271.0,639.0,1450.0,1025.0
Jun 1942,7559.0,1632.0,5510.0,2413.0,2123.0,13842.0,1453.0,2380.0,641.0,1457.0,1019.0
Jul 1942,7549.0,1640.0,5591.0,2429.0,2118.0,14072.0,1446.0,2494.0,644.0,1471.0,1018.0
Aug 1942,7563.0,1644.0,5814.0,2442.0,2124.0,14339.0,1441.0,2478.0,646.0,1486.0,1011.0
Sep 1942,7570.0,1647.0,5866.0,2454.0,2118.0,14582.0,1440.0,2433.0,647.0,1500.0,1002.0
Oct 1942,7597.0,1649.0,5956.0,2463.0,2132.0,14772.0,1439.0,2352.0,647.0,1514.0,994.0
Nov 1942,7580.0,1645.0,6026.0,2470.0,2126.0,14971.0,1434.0,2260.0,646.0,1527.0,989.0
Dec 1942,7565.0,1645.0,6072.0,2482.0,2118.0,15288.0,1432.0,2136.0,646.0,1547.0,984.0
Jan 1943,7571.0,1649.0,6132.0,2498.0,2115.0,15532.0,1427.0,2064.0,648.0,1562.0,974.0
Feb 1943,7564.0,1653.0,6223.0,2509.0,2113.0,15685.0,1427.0,2022.0,649.0,1570.0,978.0
Mar 1943,7572.0,1655.0,6257.0,2515.0,2112.0,15856.0,1426.0,1954.0,650.0,1582.0,973.0
Apr 1943,7612.0,1655.0,6267.0,2519.0,2139.0,15961.0,1432.0,1854.0,650.0,1590.0,968.0
May 1943,7601.0,1656.0,6281.0,2521.0,2118.0,16044.0,1435.0,1737.0,651.0,1594.0,958.0
Jun 1943,7640.0,1658.0,6324.0,2528.0,2128.0,16204.0,1446.0,1639.0,651.0,1606.0,957.0
Jul 1943,7653.0,1658.0,6257.0,2531.0,2125.0,16306.0,1435.0,1516.0,651.0,1614.0,954.0
Aug 1943,7637.0,1658.0,6151.0,2532.0,2122.0,16369.0,1428.0,1433.0,651.0,1618.0,947.0
Sep 1943,7635.0,1663.0,6167.0,2537.0,2115.0,16366.0,1430.0,1357.0,653.0,1619.0,950.0
Oct 1943,7652.0,1666.0,6170.0,2546.0,2133.0,16512.0,1427.0,1334.0,654.0,1631.0,950.0
Nov 1943,7685.0,1671.0,6179.0,2558.0,2142.0,16598.0,1429.0,1320.0,656.0,1640.0,943.0
Dec 1943,7612.0,1674.0,6271.0,2557.0,2112.0,16526.0,1431.0,1316.0,657.0,1640.0,950.0
Jan 1944,7710.0,1661.0,6162.0,2552.0,2139.0,16439.0,1426.0,1323.0,654.0,1641.0,947.0
Feb 1944,7741.0,1668.0,6129.0,2556.0,2142.0,16330.0,1425.0,1300.0,654.0,1645.0,948.0
Mar 1944,7754.0,1670.0,6113.0,2549.0,2138.0,16170.0,1423.0,1237.0,655.0,1643.0,942.0
Apr 1944,7770.0,1667.0,6112.0,2540.0,2138.0,16012.0,1419.0,1172.0,653.0,1640.0,940.0
May 1944,7788.0,1666.0,6121.0,2536.0,2135.0,15944.0,1416.0,1149.0,653.0,1639.0,938.0
Jun 1944,7796.0,1671.0,6147.0,2535.0,2136.0,15890.0,1423.0,1123.0,655.0,1637.0,934.0
Jul 1944,7817.0,1668.0,6190.0,2529.0,2145.0,15832.0,1409.0,1103.0,653.0,1633.0,925.0
Aug 1944,7830.0,1669.0,6204.0,2527.0,2149.0,15781.0,1403.0,1081.0,653.0,1631.0,922.0
Sep 1944,7836.0,1667.0,6216.0,2523.0,2139.0,15662.0,1407.0,1036.0,653.0,1626.0,914.0
Oct 1944,7846.0,1665.0,6223.0,2519.0,2154.0,15630.0,1406.0,1085.0,652.0,1622.0,906.0
Nov 1944,7850.0,1667.0,6263.0,2524.0,2159.0,15568.0,1406.0,1095.0,653.0,1625.0,901.0
Dec 1944,7799.0,1668.0,6375.0,2525.0,2135.0,15659.0,1405.0,1113.0,653.0,1634.0,894.0
Jan 1945,7890.0,1659.0,6254.0,2527.0,2170.0,15669.0,1407.0,1143.0,652.0,1631.0,893.0
Feb 1945,7923.0,1667.0,6239.0,2533.0,2179.0,15581.0,1405.0,1191.0,653.0,1634.0,892.0
Mar 1945,7966.0,1666.0,6216.0,2528.0,2188.0,15473.0,1404.0,1179.0,652.0,1636.0,890.0
Apr 1945,7908.0,1666.0,6185.0,2519.0,2147.0,15335.0,1403.0,1148.0,652.0,1628.0,855.0
May 1945,7963.0,1666.0,6159.0,2512.0,2166.0,15201.0,1407.0,1138.0,652.0,1620.0,820.0
Jun 1945,7962.0,1681.0,6181.0,2512.0,2171.0,14948.0,1416.0,1133.0,658.0,1609.0,878.0
Jul 1945,8006.0,1692.0,6185.0,2512.0,2182.0,14599.0,1428.0,1144.0,662.0,1596.0,868.0
