fiscal_year,Individual income taxes,Payroll taxes,Corporate income taxes,Customs duties,Excise taxes,Everything else,gdp_billions
2015,1540.802,1065.277,343.797,35.041,98.279,165.526,18164.2545
2016,1546.075,1115.063,299.571,34.837,95.045,176.097,18641.35275
2017,1587.119,1161.896,297.048,34.575,83.822,150.434,19375.17525
2018,1683.537,1170.699,204.733,41.299,94.988,133.488,20436.32075
2019,1717.857,1243.087,230.245,70.784,98.915,101.308,21286.144
2020,1608.662,1309.954,211.845,68.55,86.782,134.162,21336.795749999997
2021,2044.377,1314.089,371.831,79.985,75.271,160.426,23044.0355
2022,2632.145,1483.527,424.865,99.908,87.726,167.948,25565.38575
2023,2176.481,1614.454,419.584,80.337,75.804,72.625,27397.965
2024,2426.067,1709.558,529.867,77.037,101.435,74.771,28947.89775
2025,2656.044,1748.294,452.089,194.866,105.936,77.387,30362.76275
